timingLabel,requesttime,percent
rt_search_view,17719,90%
rt_detail_index,9672,90%
rt_index_index,9910,90%
rt_navigation_buslist,12235,90%
rt_search_mapview,8642,90%
rt_navigation_index,10607,90%
rt_search_view,5267,50%
rt_detail_index,2474,50%
rt_index_index,3281,50%
rt_navigation_buslist,3341,50%
rt_search_mapview,2642,50%
rt_navigation_index,2620,50%
