timingLabel,requesttime,percent
rt_search_mapview,8153,90%
rt_search_view,18470,90%
rt_navigation_buslist,12577,90%
rt_detail_index,9929,90%
rt_index_index,10678,90%
rt_navigation_index,10560,90%
rt_search_mapview,2638,50%
rt_search_view,5345,50%
rt_navigation_buslist,3366,50%
rt_detail_index,2529,50%
rt_index_index,3242,50%
rt_navigation_index,2647,50%
